,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,level_0,phase
414,2,2100,6.0,3.0,scene_2,607,155.0,4096,4251.0,713.4,452.1,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,5,study
415,1,1020,6.0,3.0,scene_2,607,155.0,4096,4251.0,713.4,452.1,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,41,study
416,2,2100,6.0,3.0,scene_2,608,138.0,4316,4454.0,966.7,137.4,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,5,study
417,1,1020,6.0,3.0,scene_2,608,138.0,4316,4454.0,966.7,137.4,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,41,study
418,2,2100,6.0,3.0,scene_2,609,124.0,4502,4626.0,939.5,55.1,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,5,study
419,1,1020,6.0,3.0,scene_2,609,124.0,4502,4626.0,939.5,55.1,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,41,study
420,2,2100,6.0,3.0,scene_2,610,302.0,4683,4985.0,652.5,48.2,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,5,study
421,1,1020,6.0,3.0,scene_2,610,302.0,4683,4985.0,652.5,48.2,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,41,study
422,2,2100,6.0,3.0,scene_2,611,196.0,5054,5250.0,642.4,556.5,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,5,study
423,1,1020,6.0,3.0,scene_2,611,196.0,5054,5250.0,642.4,556.5,5,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,41,study
424,2,2100,7.0,1.0,scene_1,89,183.0,7,190.0,664.9,552.9,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
425,1,1020,7.0,1.0,scene_1,89,183.0,7,190.0,664.9,552.9,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
426,2,2100,7.0,1.0,scene_1,90,308.0,201,509.0,650.2,536.8,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
427,1,1020,7.0,1.0,scene_1,90,308.0,201,509.0,650.2,536.8,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
428,2,2100,7.0,1.0,scene_1,91,23.0,580,603.0,687.9,441.9,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
429,1,1020,7.0,1.0,scene_1,91,23.0,580,603.0,687.9,441.9,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
430,2,2100,7.0,1.0,scene_1,92,276.0,614,890.0,683.5,476.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
431,1,1020,7.0,1.0,scene_1,92,276.0,614,890.0,683.5,476.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
432,2,2100,7.0,1.0,scene_1,93,175.0,916,1091.0,618.4,554.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
433,1,1020,7.0,1.0,scene_1,93,175.0,916,1091.0,618.4,554.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
434,2,2100,7.0,1.0,scene_1,94,281.0,1283,1564.0,646.0,475.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
435,1,1020,7.0,1.0,scene_1,94,281.0,1283,1564.0,646.0,475.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
436,2,2100,7.0,1.0,scene_1,95,2598.0,1585,4183.0,647.2,532.8,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
437,2,2100,7.0,3.0,scene_2,95,2598.0,1585,4183.0,647.2,532.8,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
438,1,1020,7.0,1.0,scene_1,95,2598.0,1585,4183.0,647.2,532.8,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
439,1,1020,7.0,3.0,scene_2,95,2598.0,1585,4183.0,647.2,532.8,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
440,2,2100,7.0,3.0,scene_2,96,182.0,4282,4464.0,619.2,474.0,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
441,1,1020,7.0,3.0,scene_2,96,182.0,4282,4464.0,619.2,474.0,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
442,2,2100,7.0,3.0,scene_2,97,240.0,4475,4715.0,622.7,513.4,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
443,1,1020,7.0,3.0,scene_2,97,240.0,4475,4715.0,622.7,513.4,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
444,2,2100,7.0,3.0,scene_2,98,200.0,4735,4935.0,652.8,502.7,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
445,1,1020,7.0,3.0,scene_2,98,200.0,4735,4935.0,652.8,502.7,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
446,2,2100,7.0,3.0,scene_2,99,295.0,4955,5250.0,627.0,507.5,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
