,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,constrained_start,constrained_stop,level_0,phase
3278,1,1020,8.0,4.0,target,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3279,1,1020,8.0,4.0,target,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3280,2,2100,8.0,5.0,lure,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3281,2,2100,8.0,5.0,lure,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3282,1,1020,8.0,5.0,lure,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3283,1,1020,8.0,5.0,lure,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3284,2,2100,8.0,1.0,scene_1,633,256.0,2658.0,2914.0,821.0,444.5,7.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,2658.0,2914.0,7.0,study
3285,2,2100,8.0,2.0,possible_answers,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3286,2,2100,8.0,3.0,scene_2,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3287,1,1020,8.0,1.0,scene_1,633,256.0,2658.0,2914.0,821.0,444.5,7.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,2658.0,2914.0,43.0,study
3288,1,1020,8.0,2.0,possible_answers,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3289,1,1020,8.0,3.0,scene_2,633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3290,2,2100,8.0,4.0,target,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3291,2,2100,8.0,4.0,target,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3292,1,1020,8.0,4.0,target,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3293,1,1020,8.0,4.0,target,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3294,2,2100,8.0,5.0,lure,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3295,2,2100,8.0,5.0,lure,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3296,1,1020,8.0,5.0,lure,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3297,1,1020,8.0,5.0,lure,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3298,2,2100,8.0,1.0,scene_1,634,285.0,2966.0,3251.0,661.0,510.8,7.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,2966.0,3251.0,7.0,study
3299,2,2100,8.0,2.0,possible_answers,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3300,2,2100,8.0,3.0,scene_2,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3301,1,1020,8.0,1.0,scene_1,634,285.0,2966.0,3251.0,661.0,510.8,7.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,2966.0,3251.0,43.0,study
3302,1,1020,8.0,2.0,possible_answers,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3303,1,1020,8.0,3.0,scene_2,634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3304,2,2100,8.0,4.0,target,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3305,2,2100,8.0,4.0,target,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3306,1,1020,8.0,4.0,target,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3307,1,1020,8.0,4.0,target,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3308,2,2100,8.0,5.0,lure,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3309,2,2100,8.0,5.0,lure,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3310,1,1020,8.0,5.0,lure,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3311,1,1020,8.0,5.0,lure,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3312,2,2100,8.0,1.0,scene_1,635,200.0,3294.0,3494.0,849.8,447.5,7.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,3294.0,3494.0,7.0,study
3313,2,2100,8.0,2.0,possible_answers,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3314,2,2100,8.0,3.0,scene_2,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3315,1,1020,8.0,1.0,scene_1,635,200.0,3294.0,3494.0,849.8,447.5,7.0,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,3294.0,3494.0,43.0,study
3316,1,1020,8.0,2.0,possible_answers,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3317,1,1020,8.0,3.0,scene_2,635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3318,2,2100,8.0,4.0,target,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3319,2,2100,8.0,4.0,target,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3320,1,1020,8.0,4.0,target,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3321,1,1020,8.0,4.0,target,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3322,2,2100,8.0,5.0,lure,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3323,2,2100,8.0,5.0,lure,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3324,1,1020,8.0,5.0,lure,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3325,1,1020,8.0,5.0,lure,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
