,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
41,41,1020,1,192036,1.0,ESACC,L,1038374,1038383.0,10.0,600.4,513.2,585.7,505.2,0.45,52,1033408,4966,4975.0,9.0,14,41,nan
42,42,1020,1,202841,1.0,EFIX,L,1038384,1038670.0,287.0,587.0,502.0,4373,None,None,None,1033408,4976,5262.0,286.0,15,42,nan
43,43,1020,1,224550,2.0,EFIX,L,1039392,1039947.0,556.0,633.6,526.2,2593,None,None,None,1039385,7,562.0,555.0,16,43,nan
44,44,1020,1,224604,2.0,SSACC,L,1039948,nan,nan,None,None,None,None,None,None,1039385,563,nan,nan,15,44,nan
45,45,1020,1,225991,2.0,ESACC,L,1039948,1039984.0,37.0,638.4,524.3,661.0,412.4,3.00,109,1039385,563,599.0,36.0,15,45,nan
46,46,1020,1,231414,2.0,EFIX,L,1039985,1040128.0,144.0,661.2,408.3,2649,None,None,None,1039385,600,743.0,143.0,17,46,nan
47,47,1020,1,231468,2.0,SSACC,L,1040129,nan,nan,None,None,None,None,None,None,1039385,744,nan,nan,16,47,nan
48,48,1020,1,232448,2.0,ESACC,L,1040129,1040154.0,26.0,660.2,405.6,647.3,314.6,2.46,148,1039385,744,769.0,25.0,16,48,nan
49,49,1020,1,251598,2.0,EFIX,L,1040155,1040669.0,515.0,634.3,299.1,3113,None,None,None,1039385,770,1284.0,514.0,18,49,nan
50,50,1020,1,251652,2.0,SSACC,L,1040670,nan,nan,None,None,None,None,None,None,1039385,1285,nan,nan,17,50,nan
51,51,1020,1,253224,2.0,ESACC,L,1040670,1040711.0,42.0,625.1,296.0,640.6,481.8,4.95,207,1039385,1285,1326.0,41.0,17,51,nan
52,52,1020,1,290171,2.0,EFIX,L,1040712,1041707.0,996.0,636.1,475.5,4022,None,None,None,1039385,1327,2322.0,995.0,19,52,nan
53,53,1020,1,290225,2.0,SSACC,L,1041708,nan,nan,None,None,None,None,None,None,1039385,2323,nan,nan,18,53,nan
54,54,1020,1,291094,2.0,ESACC,L,1041708,1041730.0,23.0,631.2,462.7,600.6,518.8,1.69,115,1039385,2323,2345.0,22.0,18,54,nan
55,55,1020,1,307691,2.0,EFIX,L,1041731,1042176.0,446.0,610.1,553.4,4004,None,None,None,1039385,2346,2791.0,445.0,20,55,nan
56,56,1020,1,307745,2.0,SSACC,L,1042177,nan,nan,None,None,None,None,None,None,1039385,2792,nan,nan,19,56,nan
