,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
624,624,1020,1,2902935,15.0,EFIX,L,1120001,1120091.0,91.0,549.4,942.1,2992,None,None,None,1116396,3605,3695.0,90.0,213,624,nan
625,625,1020,1,2902988,15.0,SSACC,L,1120092,nan,nan,None,None,None,None,None,None,1116396,3696,nan,nan,199,625,nan
626,626,1020,1,2906708,15.0,EBLINK,L,1120117,1120205.0,89.0,None,None,None,None,None,None,1116396,3721,3809.0,88.0,17,626,nan
627,627,1020,1,2908106,15.0,ESACC,L,1120092,1120242.0,151.0,547.2,940.8,623.9,494.2,11.16,598,1116396,3696,3846.0,150.0,199,627,nan
628,628,1020,1,2935619,15.0,EFIX,L,1120243,1120983.0,741.0,625.5,548.6,3062,None,None,None,1116396,3847,4587.0,740.0,214,628,nan
629,629,1020,1,2935673,15.0,SSACC,L,1120984,nan,nan,None,None,None,None,None,None,1116396,4588,nan,nan,200,629,nan
630,630,1020,1,2936209,15.0,ESACC,L,1120984,1120997.0,14.0,631.4,555.6,659.9,549.9,0.79,65,1116396,4588,4601.0,13.0,200,630,nan
631,631,1020,1,2943889,15.0,EFIX,L,1120998,1121202.0,205.0,661.7,551.9,2749,None,None,None,1116396,4602,4806.0,204.0,215,631,nan
632,632,1020,1,2943943,15.0,SSACC,L,1121203,nan,nan,None,None,None,None,None,None,1116396,4807,nan,nan,201,632,nan
633,633,1020,1,2944368,15.0,ESACC,L,1121203,1121213.0,11.0,661.7,550.1,642.5,544.5,0.54,57,1116396,4807,4817.0,10.0,201,633,nan
634,634,1020,1,2960575,15.0,EFIX,L,1121214,1121646.0,433.0,651.7,537.2,2684,None,None,None,1116396,4818,5250.0,432.0,216,634,nan
635,635,1020,1,2973442,16.0,EFIX,L,1122349,1122665.0,317.0,646.9,527.2,2432,None,None,None,1122342,7,323.0,316.0,217,635,nan
636,636,1020,1,2973496,16.0,SSACC,L,1122666,nan,nan,None,None,None,None,None,None,1122342,324,nan,nan,202,636,nan
637,637,1020,1,2975031,16.0,ESACC,L,1122666,1122706.0,41.0,644.6,524.5,403.3,616.2,6.95,312,1122342,324,364.0,40.0,202,637,nan
638,638,1020,1,2983155,16.0,EFIX,L,1122707,1122923.0,217.0,403.4,615.3,2719,None,None,None,1122342,365,581.0,216.0,218,638,nan
639,639,1020,1,2983209,16.0,SSACC,L,1122924,nan,nan,None,None,None,None,None,None,1122342,582,nan,nan,203,639,nan
640,640,1020,1,2985188,16.0,ESACC,L,1122924,1122976.0,53.0,407.8,611.9,923.0,485.5,14.26,447,1122342,582,634.0,52.0,203,640,nan
641,641,1020,1,2996198,16.0,EFIX,L,1122977,1123271.0,295.0,920.3,479.6,2898,None,None,None,1122342,635,929.0,294.0,219,641,nan
642,642,1020,1,2996252,16.0,SSACC,L,1123272,nan,nan,None,None,None,None,None,None,1122342,930,nan,nan,204,642,nan
643,643,1020,1,2997676,16.0,ESACC,L,1123272,1123309.0,38.0,917.6,477.1,993.8,607.3,3.91,230,1122342,930,967.0,37.0,204,643,nan
644,644,1020,1,3009278,16.0,EFIX,L,1123310,1123620.0,311.0,987.4,599.1,3173,None,None,None,1122342,968,1278.0,310.0,220,644,nan
645,645,1020,1,3009332,16.0,SSACC,L,1123621,nan,nan,None,None,None,None,None,None,1122342,1279,nan,nan,205,645,nan
646,646,1020,1,3011496,16.0,ESACC,L,1123621,1123678.0,58.0,981.8,594.0,414.6,586.5,15.17,438,1122342,1279,1336.0,57.0,205,646,nan
647,647,1020,1,3028389,16.0,EFIX,L,1123679,1124132.0,454.0,435.7,587.6,3776,None,None,None,1122342,1337,1790.0,453.0,221,647,nan
648,648,1020,1,3028443,16.0,SSACC,L,1124133,nan,nan,None,None,None,None,None,None,1122342,1791,nan,nan,206,648,nan
649,649,1020,1,3029497,16.0,ESACC,L,1124133,1124160.0,28.0,432.9,579.6,554.7,590.4,3.31,214,1122342,1791,1818.0,27.0,206,649,nan
650,650,1020,1,3039064,16.0,EFIX,L,1124161,1124416.0,256.0,557.1,583.3,4055,None,None,None,1122342,1819,2074.0,255.0,222,650,nan
651,651,1020,1,3039118,16.0,SSACC,L,1124417,nan,nan,None,None,None,None,None,None,1122342,2075,nan,nan,207,651,nan
652,652,1020,1,3040246,16.0,ESACC,L,1124417,1124446.0,30.0,555.9,580.5,680.7,551.4,3.49,215,1122342,2075,2104.0,29.0,207,652,nan
653,653,1020,1,3048222,16.0,EFIX,L,1124447,1124659.0,213.0,673.2,546.2,4085,None,None,None,1122342,2105,2317.0,212.0,223,653,nan
654,654,1020,1,3048276,16.0,SSACC,L,1124660,nan,nan,None,None,None,None,None,None,1122342,2318,nan,nan,208,654,nan
655,655,1020,1,3049034,16.0,ESACC,L,1124660,1124679.0,20.0,669.7,545.4,626.9,509.7,1.50,118,1122342,2318,2337.0,19.0,208,655,nan
656,656,1020,1,3055826,16.0,EFIX,L,1124680,1124860.0,181.0,629.6,512.7,3969,None,None,None,1122342,2338,2518.0,180.0,224,656,nan
657,657,1020,1,3055880,16.0,SSACC,L,1124861,nan,nan,None,None,None,None,None,None,1122342,2519,nan,nan,209,657,nan
658,658,1020,1,3057933,16.0,ESACC,L,1124861,1124915.0,55.0,627.5,517.4,834.6,948.7,11.89,431,1122342,2519,2573.0,54.0,209,658,nan
659,659,1020,1,3069276,16.0,EFIX,L,1124916,1125219.0,304.0,824.4,930.4,3767,None,None,None,1122342,2574,2877.0,303.0,225,659,nan
660,660,1020,1,3069330,16.0,SSACC,L,1125220,nan,nan,None,None,None,None,None,None,1122342,2878,nan,nan,210,660,nan
661,661,1020,1,3071457,16.0,ESACC,L,1125220,1125276.0,57.0,823.8,922.8,679.1,503.5,11.01,363,1122342,2878,2934.0,56.0,210,661,nan
662,662,1020,1,3087499,16.0,EFIX,L,1125277,1125707.0,431.0,687.9,514.8,4013,None,None,None,1122342,2935,3365.0,430.0,226,662,nan
663,663,1020,1,3087553,16.0,SSACC,L,1125708,nan,nan,None,None,None,None,None,None,1122342,3366,nan,nan,211,663,nan
664,664,1020,1,3088422,16.0,ESACC,L,1125708,1125730.0,23.0,688.2,515.3,722.0,464.5,1.62,87,1122342,3366,3388.0,22.0,211,664,nan
665,665,1020,1,3095325,16.0,EFIX,L,1125731,1125914.0,184.0,741.4,456.0,4318,None,None,None,1122342,3389,3572.0,183.0,227,665,nan
666,666,1020,1,3095379,16.0,SSACC,L,1125915,nan,nan,None,None,None,None,None,None,1122342,3573,nan,nan,212,666,nan
667,667,1020,1,3096877,16.0,ESACC,L,1125915,1125954.0,40.0,739.7,454.0,608.8,385.2,4.05,165,1122342,3573,3612.0,39.0,212,667,nan
668,668,1020,1,3103262,16.0,EFIX,L,1125955,1126124.0,170.0,614.0,384.1,4423,None,None,None,1122342,3613,3782.0,169.0,228,668,nan
669,669,1020,1,3103316,16.0,SSACC,L,1126125,nan,nan,None,None,None,None,None,None,1122342,3783,nan,nan,213,669,nan
670,670,1020,1,3104666,16.0,ESACC,L,1126125,1126160.0,36.0,615.2,385.4,620.8,541.6,4.10,195,1122342,3783,3818.0,35.0,213,670,nan
671,671,1020,1,3110866,16.0,EFIX,L,1126161,1126325.0,165.0,618.8,536.5,4416,None,None,None,1122342,3819,3983.0,164.0,229,671,nan
672,672,1020,1,3110920,16.0,SSACC,L,1126326,nan,nan,None,None,None,None,None,None,1122342,3984,nan,nan,214,672,nan
673,673,1020,1,3112270,16.0,ESACC,L,1126326,1126361.0,36.0,620.6,536.5,607.5,373.3,4.30,183,1122342,3984,4019.0,35.0,214,673,nan
674,674,1020,1,3121319,16.0,EFIX,L,1126362,1126603.0,242.0,618.6,351.7,4339,None,None,None,1122342,4020,4261.0,241.0,230,674,nan
675,675,1020,1,3121373,16.0,SSACC,L,1126604,nan,nan,None,None,None,None,None,None,1122342,4262,nan,nan,215,675,nan
676,676,1020,1,3121872,16.0,ESACC,L,1126604,1126616.0,13.0,616.1,347.1,592.7,356.5,0.70,68,1122342,4262,4274.0,12.0,215,676,nan
677,677,1020,1,3128072,16.0,EFIX,L,1126617,1126781.0,165.0,597.1,351.7,4356,None,None,None,1122342,4275,4439.0,164.0,231,677,nan
678,678,1020,1,3128126,16.0,SSACC,L,1126782,nan,nan,None,None,None,None,None,None,1122342,4440,nan,nan,216,678,nan
679,679,1020,1,3129513,16.0,ESACC,L,1126782,1126818.0,37.0,597.2,349.6,616.9,491.8,3.80,171,1122342,4440,4476.0,36.0,216,679,nan
680,680,1020,1,3135454,16.0,EFIX,L,1126819,1126976.0,158.0,617.9,489.9,4482,None,None,None,1122342,4477,4634.0,157.0,232,680,nan
681,681,1020,1,3135508,16.0,SSACC,L,1126977,nan,nan,None,None,None,None,None,None,1122342,4635,nan,nan,217,681,nan
682,682,1020,1,3136081,16.0,ESACC,L,1126977,1126991.0,15.0,617.4,491.6,615.3,520.7,0.76,66,1122342,4635,4649.0,14.0,217,682,nan
683,683,1020,1,3145796,16.0,EFIX,L,1126992,1127251.0,260.0,613.3,524.7,4641,None,None,None,1122342,4650,4909.0,259.0,233,683,nan
684,684,1020,1,3145850,16.0,SSACC,L,1127252,nan,nan,None,None,None,None,None,None,1122342,4910,nan,nan,218,684,nan
685,685,1020,1,3146275,16.0,ESACC,L,1127252,1127262.0,11.0,611.3,519.4,633.0,512.1,0.63,65,1122342,4910,4920.0,10.0,218,685,nan
686,686,1020,1,3158708,16.0,EFIX,L,1127263,1127593.0,331.0,627.2,506.0,4635,None,None,None,1122342,4921,5251.0,330.0,234,686,nan
687,687,1020,1,3173796,17.0,EFIX,L,1128315,1128691.0,377.0,652.7,540.5,2965,None,None,None,1128308,7,383.0,376.0,235,687,nan
688,688,1020,1,3173850,17.0,SSACC,L,1128692,nan,nan,None,None,None,None,None,None,1128308,384,nan,nan,219,688,nan
689,689,1020,1,3174867,17.0,ESACC,L,1128692,1128718.0,27.0,650.4,534.2,553.7,572.7,2.82,183,1128308,384,410.0,26.0,219,689,nan
690,690,1020,1,3184582,17.0,EFIX,L,1128719,1128978.0,260.0,557.7,589.3,2884,None,None,None,1128308,411,670.0,259.0,236,690,nan
691,691,1020,1,3184636,17.0,SSACC,L,1128979,nan,nan,None,None,None,None,None,None,1128308,671,nan,nan,220,691,nan
692,692,1020,1,3186208,17.0,ESACC,L,1128979,1129020.0,42.0,565.1,594.7,876.5,584.5,8.42,342,1128308,671,712.0,41.0,220,692,nan
693,693,1020,1,3195368,17.0,EFIX,L,1129021,1129265.0,245.0,870.0,578.0,2147,None,None,None,1128308,713,957.0,244.0,237,693,nan
694,694,1020,1,3195422,17.0,SSACC,L,1129266,nan,nan,None,None,None,None,None,None,1128308,958,nan,nan,221,694,nan
695,695,1020,1,3197068,17.0,ESACC,L,1129266,1129309.0,44.0,871.3,572.4,1219.3,588.9,9.10,351,1128308,958,1001.0,43.0,221,695,nan
696,696,1020,1,3211667,17.0,EFIX,L,1129310,1129701.0,392.0,1205.7,584.1,1772,None,None,None,1128308,1002,1393.0,391.0,238,696,nan
697,697,1020,1,3211721,17.0,SSACC,L,1129702,nan,nan,None,None,None,None,None,None,1128308,1394,nan,nan,222,697,nan
698,698,1020,1,3213922,17.0,ESACC,L,1129702,1129760.0,59.0,1208.3,582.2,600.8,534.5,16.05,475,1128308,1394,1452.0,58.0,222,698,nan
699,699,1020,1,3245615,17.0,EFIX,L,1129761,1130614.0,854.0,613.1,535.6,2033,None,None,None,1128308,1453,2306.0,853.0,239,699,nan
700,700,1020,1,3245669,17.0,SSACC,L,1130615,nan,nan,None,None,None,None,None,None,1128308,2307,nan,nan,223,700,nan
701,701,1020,1,3246538,17.0,ESACC,L,1130615,1130637.0,23.0,617.2,536.4,682.8,536.8,1.80,142,1128308,2307,2329.0,22.0,223,701,nan
702,702,1020,1,3257104,17.0,EFIX,L,1130638,1130920.0,283.0,681.7,536.2,2024,None,None,None,1128308,2330,2612.0,282.0,240,702,nan
703,703,1020,1,3257158,17.0,SSACC,L,1130921,nan,nan,None,None,None,None,None,None,1128308,2613,nan,nan,224,703,nan
704,704,1020,1,3259174,17.0,ESACC,L,1130921,1130974.0,54.0,679.2,535.7,856.3,963.1,11.41,365,1128308,2613,2666.0,53.0,224,704,nan
705,705,1020,1,3267076,17.0,EFIX,L,1130975,1131185.0,211.0,853.0,959.5,2180,None,None,None,1128308,2667,2877.0,210.0,241,705,nan
706,706,1020,1,3267130,17.0,SSACC,L,1131186,nan,nan,None,None,None,None,None,None,1128308,2878,nan,nan,225,706,nan
707,707,1020,1,3269072,17.0,ESACC,L,1131186,1131237.0,52.0,858.3,956.3,701.3,531.0,11.17,362,1128308,2878,2929.0,51.0,225,707,nan
708,708,1020,1,3276937,17.0,EFIX,L,1131238,1131447.0,210.0,700.0,532.7,2334,None,None,None,1128308,2930,3139.0,209.0,242,708,nan
709,709,1020,1,3276991,17.0,SSACC,L,1131448,nan,nan,None,None,None,None,None,None,1128308,3140,nan,nan,226,709,nan
710,710,1020,1,3277897,17.0,ESACC,L,1131448,1131471.0,24.0,700.1,532.9,628.4,545.6,1.99,154,1128308,3140,3163.0,23.0,226,710,nan
711,711,1020,1,3300007,17.0,EFIX,L,1131472,1132066.0,595.0,632.7,542.8,2548,None,None,None,1128308,3164,3758.0,594.0,243,711,nan
712,712,1020,1,3300061,17.0,SSACC,L,1132067,nan,nan,None,None,None,None,None,None,1128308,3759,nan,nan,227,712,nan
713,713,1020,1,3302262,17.0,ESACC,L,1132067,1132125.0,59.0,627.6,540.5,696.5,223.6,8.61,224,1128308,3759,3817.0,58.0,227,713,nan
714,714,1020,1,3312976,17.0,EFIX,L,1132126,1132412.0,287.0,701.1,209.7,2583,None,None,None,1128308,3818,4104.0,286.0,244,714,nan
715,715,1020,1,3313030,17.0,SSACC,L,1132413,nan,nan,None,None,None,None,None,None,1128308,4105,nan,nan,228,715,nan
716,716,1020,1,3315231,17.0,ESACC,L,1132413,1132471.0,59.0,707.6,214.8,602.7,599.4,10.53,300,1128308,4105,4163.0,58.0,228,716,nan
717,717,1020,1,3323244,17.0,EFIX,L,1132472,1132685.0,214.0,601.7,593.1,2458,None,None,None,1128308,4164,4377.0,213.0,245,717,nan
718,718,1020,1,3323298,17.0,SSACC,L,1132686,nan,nan,None,None,None,None,None,None,1128308,4378,nan,nan,229,718,nan
719,719,1020,1,3324167,17.0,ESACC,L,1132686,1132708.0,23.0,601.5,587.4,642.2,532.3,1.81,138,1128308,4378,4400.0,22.0,229,719,nan
720,720,1020,1,3335325,17.0,EFIX,L,1132709,1133007.0,299.0,640.9,532.2,2683,None,None,None,1128308,4401,4699.0,298.0,246,720,nan
721,721,1020,1,3335379,17.0,SSACC,L,1133008,nan,nan,None,None,None,None,None,None,1128308,4700,nan,nan,230,721,nan
722,722,1020,1,3335952,17.0,ESACC,L,1133008,1133022.0,15.0,641.8,525.4,678.0,524.9,0.99,84,1128308,4700,4714.0,14.0,230,722,nan
723,723,1020,1,3355970,17.0,EFIX,L,1133023,1133558.0,536.0,682.7,531.8,2776,None,None,None,1128308,4715,5250.0,535.0,247,723,nan
724,724,1020,1,3360192,18.0,EFIX,L,1134246,1134329.0,84.0,664.6,557.2,2495,None,None,None,1134239,7,90.0,83.0,248,724,nan
725,725,1020,1,3360245,18.0,SSACC,L,1134330,nan,nan,None,None,None,None,None,None,1134239,91,nan,nan,231,725,nan
726,726,1020,1,3360707,18.0,ESACC,L,1134330,1134341.0,12.0,665.0,554.5,650.6,539.4,0.55,56,1134239,91,102.0,11.0,231,726,nan
727,727,1020,1,3370121,18.0,EFIX,L,1134342,1134592.0,251.0,650.0,531.2,2626,None,None,None,1134239,103,353.0,250.0,249,727,nan
728,728,1020,1,3370175,18.0,SSACC,L,1134593,nan,nan,None,None,None,None,None,None,1134239,354,nan,nan,232,728,nan
729,729,1020,1,3371562,18.0,ESACC,L,1134593,1134629.0,37.0,648.5,529.5,647.6,363.7,4.37,171,1134239,354,390.0,36.0,232,729,nan
730,730,1020,1,3377910,18.0,EFIX,L,1134630,1134798.0,169.0,645.3,349.3,2609,None,None,None,1134239,391,559.0,168.0,250,730,nan
731,731,1020,1,3377964,18.0,SSACC,L,1134799,nan,nan,None,None,None,None,None,None,1134239,560,nan,nan,233,731,nan
732,732,1020,1,3378759,18.0,ESACC,L,1134799,1134819.0,21.0,646.7,347.6,607.8,305.6,1.56,118,1134239,560,580.0,20.0,233,732,nan
733,733,1020,1,3392951,18.0,EFIX,L,1134820,1135200.0,381.0,606.0,308.1,2239,None,None,None,1134239,581,961.0,380.0,251,733,nan
734,734,1020,1,3393005,18.0,SSACC,L,1135201,nan,nan,None,None,None,None,None,None,1134239,962,nan,nan,234,734,nan
735,735,1020,1,3394725,18.0,ESACC,L,1135201,1135246.0,46.0,605.6,311.5,747.5,618.0,8.91,354,1134239,962,1007.0,45.0,234,735,nan
736,736,1020,1,3403996,18.0,EFIX,L,1135247,1135494.0,248.0,741.9,610.0,2281,None,None,None,1134239,1008,1255.0,247.0,252,736,nan
737,737,1020,1,3404050,18.0,SSACC,L,1135495,nan,nan,None,None,None,None,None,None,1134239,1256,nan,nan,235,737,nan
738,738,1020,1,3404993,18.0,ESACC,L,1135495,1135519.0,25.0,742.3,609.8,740.0,535.5,1.91,98,1134239,1256,1280.0,24.0,235,738,nan
739,739,1020,1,3410527,18.0,EFIX,L,1135520,1135666.0,147.0,741.2,522.5,2279,None,None,None,1134239,1281,1427.0,146.0,253,739,nan
740,740,1020,1,3410581,18.0,SSACC,L,1135667,nan,nan,None,None,None,None,None,None,1134239,1428,nan,nan,236,740,nan
741,741,1020,1,3412338,18.0,ESACC,L,1135667,1135713.0,47.0,741.3,524.4,381.3,602.3,9.96,371,1134239,1428,1474.0,46.0,236,741,nan
742,742,1020,1,3421572,18.0,EFIX,L,1135714,1135960.0,247.0,391.2,608.8,2395,None,None,None,1134239,1475,1721.0,246.0,254,742,nan
743,743,1020,1,3421626,18.0,SSACC,L,1135961,nan,nan,None,None,None,None,None,None,1134239,1722,nan,nan,237,743,nan
744,744,1020,1,3423309,18.0,ESACC,L,1135961,1136005.0,45.0,392.5,608.3,666.5,584.9,7.43,315,1134239,1722,1766.0,44.0,237,744,nan
745,745,1020,1,3446529,18.0,EFIX,L,1136006,1136630.0,625.0,662.1,576.6,2711,None,None,None,1134239,1767,2391.0,624.0,255,745,nan
746,746,1020,1,3446583,18.0,SSACC,L,1136631,nan,nan,None,None,None,None,None,None,1134239,2392,nan,nan,238,746,nan
747,747,1020,1,3447193,18.0,ESACC,L,1136631,1136646.0,16.0,660.9,576.1,688.3,600.2,0.97,81,1134239,2392,2407.0,15.0,238,747,nan
748,748,1020,1,3451543,18.0,EFIX,L,1136647,1136761.0,115.0,683.3,600.1,2988,None,None,None,1134239,2408,2522.0,114.0,256,748,nan
749,749,1020,1,3451597,18.0,SSACC,L,1136762,nan,nan,None,None,None,None,None,None,1134239,2523,nan,nan,239,749,nan
750,750,1020,1,3452318,18.0,ESACC,L,1136762,1136780.0,19.0,686.2,600.5,662.4,550.7,1.44,106,1134239,2523,2541.0,18.0,239,750,nan
751,751,1020,1,3468212,18.0,EFIX,L,1136781,1137207.0,427.0,661.4,546.0,2763,None,None,None,1134239,2542,2968.0,426.0,257,751,nan
752,752,1020,1,3468266,18.0,SSACC,L,1137208,nan,nan,None,None,None,None,None,None,1134239,2969,nan,nan,240,752,nan
753,753,1020,1,3471695,18.0,EBLINK,L,1137293,1137300.0,8.0,None,None,None,None,None,None,1134239,3054,3061.0,7.0,18,753,nan
754,754,1020,1,3473573,18.0,ESACC,L,1137208,1137350.0,143.0,659.8,547.7,650.1,346.3,5.30,3270,1134239,2969,3111.0,142.0,240,754,nan
755,755,1020,1,3480477,18.0,EFIX,L,1137351,1137534.0,184.0,639.1,383.1,2717,None,None,None,1134239,3112,3295.0,183.0,258,755,nan
756,756,1020,1,3480531,18.0,SSACC,L,1137535,nan,nan,None,None,None,None,None,None,1134239,3296,nan,nan,241,756,nan
757,757,1020,1,3481511,18.0,ESACC,L,1137535,1137560.0,26.0,638.9,388.8,621.6,314.1,2.05,103,1134239,3296,3321.0,25.0,241,757,nan
758,758,1020,1,3491263,18.0,EFIX,L,1137561,1137821.0,261.0,618.2,296.4,2756,None,None,None,1134239,3322,3582.0,260.0,259,758,nan
759,759,1020,1,3491317,18.0,SSACC,L,1137822,nan,nan,None,None,None,None,None,None,1134239,3583,nan,nan,242,759,nan
760,760,1020,1,3491742,18.0,ESACC,L,1137822,1137832.0,11.0,619.3,293.8,599.2,306.1,0.65,68,1134239,3583,3593.0,10.0,242,760,nan
761,761,1020,1,3503899,18.0,EFIX,L,1137833,1138158.0,326.0,598.3,313.4,3030,None,None,None,1134239,3594,3919.0,325.0,260,761,nan
762,762,1020,1,3503953,18.0,SSACC,L,1138159,nan,nan,None,None,None,None,None,None,1134239,3920,nan,nan,243,762,nan
763,763,1020,1,3506597,18.0,EBLINK,L,1138201,1138234.0,34.0,None,None,None,None,None,None,1134239,3962,3995.0,33.0,19,763,nan
764,764,1020,1,3508328,18.0,ESACC,L,1138159,1138280.0,122.0,602.0,321.8,667.0,457.9,4.04,3270,1134239,3920,4041.0,121.0,243,764,nan
765,765,1020,1,3521337,18.0,EFIX,L,1138281,1138629.0,349.0,656.4,492.6,3232,None,None,None,1134239,4042,4390.0,348.0,261,765,nan
766,766,1020,1,3521391,18.0,SSACC,L,1138630,nan,nan,None,None,None,None,None,None,1134239,4391,nan,nan,244,766,nan
767,767,1020,1,3522371,18.0,ESACC,L,1138630,1138655.0,26.0,655.5,493.3,602.9,566.4,2.38,137,1134239,4391,4416.0,25.0,244,767,nan
768,768,1020,1,3528386,18.0,EFIX,L,1138656,1138815.0,160.0,614.6,574.2,3466,None,None,None,1134239,4417,4576.0,159.0,262,768,nan
769,769,1020,1,3528440,18.0,SSACC,L,1138816,nan,nan,None,None,None,None,None,None,1134239,4577,nan,nan,245,769,nan
770,770,1020,1,3529272,18.0,ESACC,L,1138816,1138837.0,22.0,615.6,567.1,659.4,521.9,1.68,125,1134239,4577,4598.0,21.0,245,770,nan
771,771,1020,1,3536693,18.0,EFIX,L,1138838,1139035.0,198.0,653.6,515.8,3627,None,None,None,1134239,4599,4796.0,197.0,263,771,nan
772,772,1020,1,3536747,18.0,SSACC,L,1139036,nan,nan,None,None,None,None,None,None,1134239,4797,nan,nan,246,772,nan
773,773,1020,1,3537135,18.0,ESACC,L,1139036,1139045.0,10.0,654.3,513.0,675.5,508.0,0.60,67,1134239,4797,4806.0,9.0,246,773,nan
774,774,1020,1,3553786,18.0,EFIX,L,1139046,1139490.0,445.0,677.9,513.6,3596,None,None,None,1134239,4807,5251.0,444.0,264,774,nan
775,775,1020,1,3569841,19.0,EFIX,L,1140194,1140596.0,403.0,646.0,523.3,3216,None,None,None,1140187,7,409.0,402.0,265,775,nan
776,776,1020,1,3569895,19.0,SSACC,L,1140597,nan,nan,None,None,None,None,None,None,1140187,410,nan,nan,247,776,nan
777,777,1020,1,3571208,19.0,ESACC,L,1140597,1140631.0,35.0,640.6,524.5,625.7,385.2,3.68,171,1140187,410,444.0,34.0,247,777,nan
778,778,1020,1,3585844,19.0,EFIX,L,1140632,1141024.0,393.0,626.1,374.8,3464,None,None,None,1140187,445,837.0,392.0,266,778,nan
779,779,1020,1,3585898,19.0,SSACC,L,1141025,nan,nan,None,None,None,None,None,None,1140187,838,nan,nan,248,779,nan
780,780,1020,1,3586693,19.0,ESACC,L,1141025,1141045.0,21.0,625.6,369.3,569.7,351.5,1.62,109,1140187,838,858.0,20.0,248,780,nan
781,781,1020,1,3595816,19.0,EFIX,L,1141046,1141289.0,244.0,562.7,345.9,3736,None,None,None,1140187,859,1102.0,243.0,267,781,nan
782,782,1020,1,3595870,19.0,SSACC,L,1141290,nan,nan,None,None,None,None,None,None,1140187,1103,nan,nan,249,782,nan
783,783,1020,1,3597331,19.0,ESACC,L,1141290,1141328.0,39.0,554.6,344.2,776.7,363.6,6.18,294,1140187,1103,1141.0,38.0,249,783,nan
784,784,1020,1,3617813,19.0,EFIX,L,1141329,1141879.0,551.0,762.0,335.6,4224,None,None,None,1140187,1142,1692.0,550.0,268,784,nan
785,785,1020,1,3617867,19.0,SSACC,L,1141880,nan,nan,None,None,None,None,None,None,1140187,1693,nan,nan,250,785,nan
786,786,1020,1,3619439,19.0,ESACC,L,1141880,1141921.0,42.0,762.4,310.5,595.7,393.0,5.12,222,1140187,1693,1734.0,41.0,250,786,nan
787,787,1020,1,3640365,19.0,EFIX,L,1141922,1142484.0,563.0,604.5,392.9,4898,None,None,None,1140187,1735,2297.0,562.0,269,787,nan
788,788,1020,1,3640419,19.0,SSACC,L,1142485,nan,nan,None,None,None,None,None,None,1140187,2298,nan,nan,251,788,nan
789,789,1020,1,3641288,19.0,ESACC,L,1142485,1142507.0,23.0,604.4,396.1,615.9,473.5,2.07,131,1140187,2298,2320.0,22.0,251,789,nan
790,790,1020,1,3652520,19.0,EFIX,L,1142508,1142808.0,301.0,619.7,496.2,4801,None,None,None,1140187,2321,2621.0,300.0,270,790,nan
791,791,1020,1,3652574,19.0,SSACC,L,1142809,nan,nan,None,None,None,None,None,None,1140187,2622,nan,nan,252,791,nan
792,792,1020,1,3654627,19.0,ESACC,L,1142809,1142863.0,55.0,628.9,521.6,543.9,934.0,10.37,343,1140187,2622,2676.0,54.0,252,792,nan
793,793,1020,1,3666229,19.0,EFIX,L,1142864,1143174.0,311.0,538.4,924.7,4229,None,None,None,1140187,2677,2987.0,310.0,271,793,nan
794,794,1020,1,3666283,19.0,SSACC,L,1143175,nan,nan,None,None,None,None,None,None,1140187,2988,nan,nan,253,794,nan
795,795,1020,1,3668669,19.0,ESACC,L,1143175,1143238.0,64.0,531.8,912.6,571.7,490.1,10.49,292,1140187,2988,3051.0,63.0,253,795,nan
796,796,1020,1,3682269,19.0,EFIX,L,1143239,1143603.0,365.0,565.7,489.4,4616,None,None,None,1140187,3052,3416.0,364.0,272,796,nan
797,797,1020,1,3682323,19.0,SSACC,L,1143604,nan,nan,None,None,None,None,None,None,1140187,3417,nan,nan,254,797,nan
798,798,1020,1,3683081,19.0,ESACC,L,1143604,1143623.0,20.0,562.4,487.5,614.9,497.0,1.46,124,1140187,3417,3436.0,19.0,254,798,nan
799,799,1020,1,3692463,19.0,EFIX,L,1143624,1143874.0,251.0,610.7,499.2,4787,None,None,None,1140187,3437,3687.0,250.0,273,799,nan
800,800,1020,1,3692517,19.0,SSACC,L,1143875,nan,nan,None,None,None,None,None,None,1140187,3688,nan,nan,255,800,nan
801,801,1020,1,3696232,19.0,EBLINK,L,1143925,1143983.0,59.0,None,None,None,None,None,None,1140187,3738,3796.0,58.0,20,801,nan
802,802,1020,1,3698222,19.0,ESACC,L,1143875,1144036.0,162.0,611.3,497.6,640.6,494.9,0.81,474,1140187,3688,3849.0,161.0,255,802,nan
803,803,1020,1,3709566,19.0,EFIX,L,1144037,1144340.0,304.0,654.1,505.8,4671,None,None,None,1140187,3850,4153.0,303.0,274,803,nan
804,804,1020,1,3709620,19.0,SSACC,L,1144341,nan,nan,None,None,None,None,None,None,1140187,4154,nan,nan,256,804,nan
805,805,1020,1,3710304,19.0,ESACC,L,1144341,1144358.0,18.0,655.8,515.5,615.4,501.6,1.17,102,1140187,4154,4171.0,17.0,256,805,nan
806,806,1020,1,3723978,19.0,EFIX,L,1144359,1144725.0,367.0,618.8,504.3,4505,None,None,None,1140187,4172,4538.0,366.0,275,806,nan
807,807,1020,1,3724032,19.0,SSACC,L,1144726,nan,nan,None,None,None,None,None,None,1140187,4539,nan,nan,257,807,nan
