,subject_id,block_id,file_position,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,trial_id,level_0,index,phase
54,1020,1,290171,EFIX,L,1040712,1041707,996,636.1,475.5,4022,None,None,None,1039385,2.0,37,1,study
55,1020,1,290225,SSACC,L,1041708,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
56,1020,1,291094,ESACC,L,1041708,1041730,23,631.2,462.7,600.6,518.8,1.69,115,1039385,2.0,37,1,study
57,1020,1,307691,EFIX,L,1041731,1042176,446,610.1,553.4,4004,None,None,None,1039385,2.0,37,1,study
58,1020,1,307745,SSACC,L,1042177,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
59,1020,1,308133,ESACC,L,1042177,1042186,10,614.1,558.6,615.3,542.9,0.41,45,1039385,2.0,37,1,study
60,1020,1,328874,EFIX,L,1042187,1042744,558,618.2,542.4,3434,None,None,None,1039385,2.0,37,1,study
61,1020,1,328928,SSACC,L,1042745,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
62,1020,1,331092,ESACC,L,1042745,1042802,58,620.8,541.1,508.7,967.2,10.79,308,1039385,2.0,37,1,study
63,1020,1,338143,EFIX,L,1042803,1042990,188,510.1,959.1,3681,None,None,None,1039385,2.0,37,1,study
64,1020,1,338197,SSACC,L,1042991,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
65,1020,1,340139,ESACC,L,1042991,1043042,52,511.1,952.2,606.0,481.9,11.80,408,1039385,2.0,37,1,study
66,1020,1,345895,EFIX,L,1043043,1043195,153,607.1,489.7,3469,None,None,None,1039385,2.0,37,1,study
67,1020,1,345949,SSACC,L,1043196,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
68,1020,1,346744,ESACC,L,1043196,1043216,21,607.9,498.1,649.8,539.2,1.57,127,1039385,2.0,37,1,study
69,1020,1,362860,EFIX,L,1043217,1043649,433,648.5,547.1,3479,None,None,None,1039385,2.0,37,1,study
70,1020,1,362914,SSACC,L,1043650,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
71,1020,1,363598,ESACC,L,1043650,1043667,18,646.6,542.2,603.3,531.0,1.22,101,1039385,2.0,37,1,study
72,1020,1,378937,EFIX,L,1043668,1044079,412,602.3,522.2,3872,None,None,None,1039385,2.0,37,1,study
73,1020,1,378991,SSACC,L,1044080,None,None,None,None,None,None,None,None,1039385,2.0,37,1,study
74,1020,1,379305,ESACC,L,1044080,1044087,8,598.8,526.7,610.3,530.2,0.33,44,1039385,2.0,37,1,study
75,1020,1,400358,EFIX,L,1044088,1044651,564,610.0,532.4,3990,None,None,None,1039385,2.0,37,1,study
76,1020,1,400952,START,1045333,LEFT,SAMPLES,EVENTS,None,None,None,None,None,None,1045333,3.0,38,2,test
77,1020,1,420333,EFIX,L,1045340,1045848,509,643.5,526.9,2565,None,None,None,1045333,3.0,38,2,test
78,1020,1,420387,SSACC,L,1045849,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
79,1020,1,421552,ESACC,L,1045849,1045879,31,641.5,522.3,732.6,571.0,2.79,155,1045333,3.0,38,2,test
80,1020,1,426938,EFIX,L,1045880,1046022,143,729.6,565.7,2991,None,None,None,1045333,3.0,38,2,test
81,1020,1,426992,SSACC,L,1046023,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
82,1020,1,428786,ESACC,L,1046023,1046070,48,727.2,564.6,339.0,599.0,10.50,365,1045333,3.0,38,2,test
83,1020,1,444643,EFIX,L,1046071,1046496,426,340.8,596.5,3441,None,None,None,1045333,3.0,38,2,test
84,1020,1,444697,SSACC,L,1046497,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
85,1020,1,446454,ESACC,L,1046497,1046543,47,339.1,596.1,758.2,599.1,11.27,423,1045333,3.0,38,2,test
86,1020,1,460794,EFIX,L,1046544,1046928,385,744.4,585.9,3708,None,None,None,1045333,3.0,38,2,test
87,1020,1,460848,SSACC,L,1046929,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
88,1020,1,462124,ESACC,L,1046929,1046962,34,741.0,584.4,862.5,531.3,3.57,171,1045333,3.0,38,2,test
89,1020,1,481903,EFIX,L,1046963,1047494,532,856.3,543.7,4070,None,None,None,1045333,3.0,38,2,test
90,1020,1,481957,SSACC,L,1047495,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
91,1020,1,483566,ESACC,L,1047495,1047537,43,850.3,543.3,610.0,564.2,6.56,280,1045333,3.0,38,2,test
92,1020,1,492541,EFIX,L,1047538,1047777,240,617.4,561.6,4140,None,None,None,1045333,3.0,38,2,test
93,1020,1,492595,SSACC,L,1047778,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
94,1020,1,494537,ESACC,L,1047778,1047829,52,619.0,558.9,497.3,952.8,10.12,417,1045333,3.0,38,2,test
95,1020,1,500367,EFIX,L,1047830,1047984,155,507.9,953.0,4075,None,None,None,1045333,3.0,38,2,test
96,1020,1,500421,SSACC,L,1047985,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
97,1020,1,503177,ESACC,L,1047985,1048058,74,511.0,960.3,603.7,525.3,10.89,293,1045333,3.0,38,2,test
98,1020,1,510117,EFIX,L,1048059,1048243,185,599.6,545.5,3592,None,None,None,1045333,3.0,38,2,test
99,1020,1,510171,SSACC,L,1048244,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
100,1020,1,510929,ESACC,L,1048244,1048263,20,597.2,553.6,643.3,567.1,1.31,107,1045333,3.0,38,2,test
101,1020,1,522642,EFIX,L,1048264,1048577,314,643.0,563.0,3516,None,None,None,1045333,3.0,38,2,test
102,1020,1,522696,SSACC,L,1048578,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
